-1,-1,35,718.0
-1,-1,65,631.0
-1,-1,102,326.0
-1,-1,10,424.0
-1,101,144,202.0
-1,-1,65,831.0
-1,-1,37,805.0
-1,-1,212,719.0
-1,-1,65,531.0
-1,-1,121,244.0
-1,-1,144,104.0
-1,-1,212,434.0
-1,-1,107,437.0
-1,-1,102,428.0
-1,-1,107,441.0
-1,-1,212,534.0
-1,-1,35,414.0
-1,-1,65,731.0
-1,-1,102,528.0
-1,101,212,512.0
-1,-1,144,306.0
-1,-1,121,645.0
-1,-1,144,206.0
-1,-1,107,341.0
-1,100,212,612.0
-1,-1,37,704.0
-1,-1,65,430.0
-1,-1,10,724.0
-1,-1,37,547.0
-1,100,144,302.0
-1,-1,10,624.0
-1,-1,37,804.0
-1,-1,121,545.0
-1,-1,37,705.0
-1,-1,10,524.0
-1,-1,10,322.0
-1,-1,58,411.0
-1,-1,35,818.0
-1,-1,58,511.0
-1,-1,58,209.0
0,43,37,348.0
1,13,37,602.0
1,13,37,603.0
2,25,212,813.0
3,43,37,604.0
3,43,37,801.0
4,-1,212,619.0
5,25,212,614.0
6,-1,212,817.0
7,-1,212,1018.0
8,101,102,225.0
9,-1,212,335.0
11,13,212,433.0
12,13,212,727.0
14,13,144,404.0
14,13,144,304.0
14,13,144,105.0
14,13,144,205.0
15,13,65,331.0
16,13,65,431.0
17,13,212,629.0
18,13,212,425.0
19,-1,144,204.0
20,25,107,135.0
21,-1,35,918.0
22,25,35,214.0
23,-1,35,115.0
26,40,121,145.0
27,25,144,502.0
28,40,35,118.0
29,40,35,618.0
29,43,35,517.0
30,43,35,317.0
31,13,35,218.0
31,13,35,516.0
32,13,35,316.0
33,-1,212,438.0
34,-1,212,537.0
36,24,37,446.0
36,25,37,447.0
38,-1,37,246.0
39,-1,37,346.0
41,-1,102,1124.0
42,43,212,728.0
44,43,144,605.0
45,43,144,405.0
45,43,144,305.0
46,43,65,231.0
47,43,212,1031.0
48,43,212,632.0
49,43,144,505.0
49,43,144,106.0
50,-1,58,110.0
51,-1,58,207.0
51,-1,58,107.0
52,100,121,143.0
53,100,58,308.0
53,24,58,307.0
54,-1,65,229.0
55,13,10,323.0
56,101,58,208.0
57,13,144,504.0
59,13,58,510.0
60,13,58,310.0
61,13,58,311.0
62,43,58,111.0
63,43,58,710.0
64,-1,58,309.0
66,43,102,328.0
66,43,102,128.0
66,13,102,427.0
66,13,102,327.0
66,13,102,227.0
66,13,102,127.0
66,43,102,228.0
66,13,102,527.0
67,-1,102,426.0
68,101,102,325.0
69,100,102,126.0
70,13,35,116.0
71,13,35,216.0
72,25,144,203.0
73,-1,144,201.0
74,13,212,530.0
75,-1,212,436.0
76,-1,121,745.0
77,24,121,242.0
78,25,58,408.0
78,101,58,108.0
79,-1,10,320.0
80,-1,10,519.0
81,-1,144,506.0
82,25,10,421.0
83,24,10,121.0
84,101,10,221.0
85,-1,107,137.0
86,-1,35,112.0
87,-1,107,931.0
88,-1,107,138.0
89,-1,107,232.0
90,13,102,627.0
90,-1,102,526.0
91,-1,144,403.0
92,-1,10,420.0
93,25,102,226.0
93,24,102,125.0
94,-1,144,301.0
