0,155,48
1,155,73
1,155,242
2,132,158
3,155,62
3,155,165
4,132,68
5,132,138
6,132,104
7,132,161
8,132,76
9,131,237
10,155,163
11,155,73
12,155,48
12,155,73
12,155,166
12,155,242
13,155,166
14,155,120
15,155,75
16,155,242
17,155,237
18,132,67
19,131,237
20,132,74
21,155,237
22,155,166
23,132,67
24,155,62
25,155,37
25,155,73
26,155,164
27,155,242
28,155,166
29,131,201
30,131,201
31,132,67
31,132,69
32,53,72
33,53,168
35,53,168
38,155,164
39,155,163
40,155,164
40,155,165
41,155,165
42,155,165
43,155,165
44,155,34
44,155,163
45,155,237
46,53,72
46,53,109
47,132,237
50,132,69
50,132,237
51,53,168
52,155,242
54,132,237
55,155,120
56,155,48
57,155,166
58,155,73
59,155,62
60,155,242
61,155,237
63,155,48
63,155,62
63,155,73
63,155,120
63,155,164
63,155,165
63,155,166
63,155,242
64,155,237
65,132,76
66,132,76
70,155,166
71,155,166
77,132,99
78,53,114
79,155,37
80,131,237
81,131,237
82,132,69
83,132,158
83,132,237
84,53,72
85,53,114
87,131,86
88,132,74
89,132,69
90,132,237
91,132,172
92,53,72
93,53,72
94,155,237
95,53,168
96,155,75
96,155,237
97,132,68
98,53,103
100,132,67
100,132,69
101,53,72
101,53,114
102,53,72
105,132,104
106,53,168
107,155,166
108,132,49
110,132,237
111,132,69
112,132,240
115,53,114
116,155,165
117,53,72
118,155,237
119,53,72
121,53,72
122,132,74
123,53,72
124,155,62
125,131,125
126,155,120
127,155,166
128,155,242
130,131,237
133,155,237
135,155,237
136,132,99
137,53,72
139,132,69
139,132,237
140,132,76
141,155,237
142,132,74
143,53,114
144,132,76
145,155,237
146,155,62
146,155,73
146,155,166
146,155,242
147,53,72
147,155,237
148,155,34
148,155,163
148,155,164
149,155,62
149,155,75
150,132,99
150,132,237
151,155,36
152,155,164
152,155,165
153,132,74
153,132,99
154,132,76
156,132,158
159,132,69
159,132,158
162,132,113
167,132,113
169,155,165
170,132,76
171,155,237
173,155,48
174,132,99
175,132,113
176,132,157
177,132,68
178,53,114
179,53,72
180,53,72
181,132,113
182,132,158
183,132,76
184,131,237
185,53,168
186,132,104
187,155,37
187,155,163
187,155,164
187,155,165
188,155,166
189,155,62
189,155,75
190,155,73
190,155,120
190,155,242
191,155,37
191,155,73
191,155,164
192,155,166
192,155,242
193,155,62
194,132,237
195,53,114
196,132,69
197,132,113
198,131,134
200,131,199
200,131,237
203,131,202
204,155,48
205,155,62
206,155,242
207,155,73
208,155,166
209,53,168
210,155,242
212,53,72
211,53,114
213,155,166
214,53,103
215,132,161
216,53,160
217,132,67
218,132,74
219,155,237
220,131,237
221,132,237
222,131,237
223,132,76
224,132,172
225,131,129
226,155,242
227,53,72
228,53,72
229,53,72
230,53,72
231,132,74
232,155,166
233,155,237
234,53,72
235,131,237
236,132,158
238,155,62
239,155,237
241,132,240
243,155,73
243,155,165
244,132,74
245,155,36
246,132,68
