"DC default L3"
"DC default L4"
"DC Naive L3"
"DC naive L4"
"EcoNew_DCbench_MergeSegments"
"EcoNew_DCDefault_MergeSegments"
"EcoNew_Pipeline1_HierarchicalModeling"
"EcoNewL3_DCbench_MergeSegments"
"EcoNewL3_DCDefault_MergeSegments"
"INSEASON_INTERMITTENT"
"INSEASON_NON_INTERMITTENT"
"LOW_VOLUME"
"Other"
"OTHER"
"RETIRED"
"YEAR_ROUND_INTERMITTENT"
"YEAR_ROUND_NON_SEASONAL"
"YEAR_ROUND_OTHER"
"YEAR_ROUND_SEASONAL"
"YEAR_ROUND_SEASONAL_INTERMITTENT"
