"INSEASON_INTERMITTENT"
"INSEASON_NON_INTERMITTENT"
"LOW_VOLUME"
"OTHER"
"RETIRED"
"YEAR_ROUND_INTERMITTENT"
"YEAR_ROUND_NON_SEASONAL"
"YEAR_ROUND_OTHER"
"YEAR_ROUND_SEASONAL"
"YEAR_ROUND_SEASONAL_INTERMITTENT"
