"01_DD AIN"
"03_DD ALLIER"
"07_DD ARDECHE"
"15_DD CANTAL"
"26_DD DROME"
"38_DD ISERE"
"42_DD LOIRE"
"43_DD HAUTE LOIRE"
"63_DD PUY DE DOME"
"69_DD RHONE"
"73_DD SAVOIE"
"74_DD HAUTE SAVOIE"
"AUVERGNE-RHONE-ALPES"
"BOURGOGNE-FRANCHE-COMTE"
"BRETAGNE"
"CENTRE-VAL DE LOIRE"
"CORSE"
"COTES D'ARMOR"
"DIR DEPARTEMENTALE CALVADOS"
"DIR DEPARTEMENTALE EURE"
"DIR DEPARTEMENTALE MANCHE"
"DIR DEPARTEMENTALE ORNE"
"DIR DEPARTEMENTALE SEINE MARITIME"
"Dir Dpt  Pyrénées Orientales"
"Dir Dpt Ariège"
"Dir Dpt Aude"
"Dir Dpt Aveyron"
"Dir Dpt Gard"
"Dir Dpt Gers"
"Dir Dpt Haute Garonne"
"Dir Dpt Hautes Pyrénées"
"Dir Dpt Hérault"
"Dir Dpt Lot"
"Dir Dpt Lozère"
"Dir Dpt Tarn"
"Dir Dpt Tarn et Garonne"
"DT 04"
"DT 05"
"DT 06"
"DT 13"
"DT 16 CHARENTE"
"DT 17 CHARENTE-MARITIME"
"DT 19 CORREZE"
"DT 21"
"DT 23 CREUSE"
"DT 24 DORDOGNE"
"DT 25"
"DT 33 GIRONDE"
"DT 39"
"DT 40 LANDES"
"DT 47 LOT-ET-GARONNE"
"DT 58"
"DT 64 PYRENEES-ATLANTIQUES"
"DT 70"
"DT 71"
"DT 75 Paris"
"DT 77 Seine-et-Marne"
"DT 78 Yvelines"
"DT 79 DEUX-SEVRES"
"DT 83"
"DT 84"
"DT 86 VIENNE"
"DT 87 HAUTE-VIENNE"
"DT 89"
"DT 90"
"DT 91 Essonne"
"DT 92 Hauts-de-Seine"
"DT 93 Seine-Saint-Denis"
"DT 94 Val-de-Marne"
"DT 95 Val-d'Oise"
"DT AISNE"
"DT ARDENNES"
"DT AUBE"
"DT BAS RHIN"
"DT CHER"
"DT CORSE DU SUD"
"DT EURE ET LOIR"
"DT GUADELOUPE ET ILES DU NORD"
"DT GUYANE"
"DT HAUT RHIN"
"DT HAUTE CORSE"
"DT HAUTE-MARNE"
"DT INDRE"
"DT INDRE ET LOIRE"
"DT LOIR ET CHER"
"DT LOIRE ATLANTIQUE"
"DT LOIRET"
"DT MAINE ET LOIRE"
"DT MARNE"
"DT MARTINIQUE"
"DT MAYENNE"
"DT MEURTHE ET MOSELLE"
"DT MEUSE"
"DT MOSELLE"
"DT NORD"
"DT NORD EST"
"DT OISE"
"DT PAS DE CALAIS"
"DT SARTHE"
"DT SOMME"
"DT SUD OUEST"
"DT VENDEE"
"DT VOSGES"
"FINISTERE"
"GRAND EST"
"GUADELOUPE"
"GUYANE"
"HAUTS-DE-FRANCE"
"ILE DE FRANCE"
"ILLE ET VILAINE"
"MARTINIQUE"
"MORBIHAN"
"NORMANDIE"
"NOUVELLE-AQUITAINE"
"OCCITANIE"
"PAYS DE LA LOIRE"
"PROVENCE ALPES COTE D'AZUR"
"REUNION"
