7.0,0,12
3.0,1,12
4.0,2,12
2.0,3,12
6.0,4,12
15.0,5,12
10.0,6,12
3.0,7,12
8.0,8,12
23.0,9,12
6.0,10,12
7.0,11,12
7.0,17,14
9.0,18,112
8.0,19,112
6.0,20,112
4.0,21,112
19.0,22,112
6.0,23,114
4.0,24,114
5.0,25,114
4.0,26,114
10.0,27,114
3.0,28,114
16.0,29,114
4.0,30,114
11.0,31,114
3.0,32,114
1.0,33,114
6.0,34,114
3.0,35,114
2.0,36,116
2.0,37,116
11.0,38,116
23.0,39,116
4.0,40,113
9.0,41,113
2.0,42,113
6.0,43,13
2.0,44,113
6.0,45,113
8.0,46,13
18.0,47,113
3.0,48,13
5.0,49,113
4.0,50,113
3.0,51,13
9.0,52,113
4.0,53,13
8.0,54,13
17.0,55,108
16.0,56,108
11.0,57,108
6.0,58,113
13.0,59,116
8.0,60,116
6.0,61,113
6.0,62,113
4.0,63,13
2.0,64,13
14.0,65,108
14.0,66,108
21.0,67,108
16.0,68,108
14.0,69,108
7.0,70,107
5.0,71,104
4.0,72,104
12.0,73,104
5.0,74,15
2.0,75,16
7.0,76,15
16.0,77,105
4.0,78,106
10.0,79,104
3.0,80,16
3.0,81,104
3.0,82,15
8.0,83,15
4.0,84,15
18.0,85,115
7.0,86,15
9.0,87,115
8.0,88,104
9.0,89,110
4.0,90,115
10.0,91,104
3.0,92,104
13.0,93,104
38.0,94,107
6.0,95,117
10.0,96,107
19.0,97,107
8.0,98,115
8.0,99,107
11.0,100,117
9.0,101,115
6.0,102,104
12.0,103,14
10.0,109,14
8.0,111,14
