0,12
1,12
2,12
3,12
4,12
5,12
6,12
7,12
8,12
9,12
10,12
11,12
17,14
18,112
19,112
20,112
21,112
22,112
23,114
24,114
25,114
26,114
27,114
28,114
29,114
30,114
31,114
32,114
33,114
34,114
35,114
36,116
37,116
38,116
39,116
40,113
41,113
42,113
43,13
44,113
45,113
46,13
47,113
48,13
49,113
50,113
51,13
52,113
53,13
54,13
55,108
56,108
57,108
58,113
59,116
60,116
61,113
62,113
63,13
64,13
65,108
66,108
67,108
68,108
69,108
70,107
71,104
72,104
73,104
74,15
75,16
76,15
77,105
78,106
79,104
80,16
81,104
82,15
83,15
84,15
85,115
86,15
87,115
88,104
89,110
90,115
91,104
92,104
93,104
94,107
95,117
96,107
97,107
98,115
99,107
100,117
101,115
102,104
103,14
109,14
111,14
